Body,Date,Feedbacks,HelpfulFeedbacks,MemberID,ProductID,Rating,RealName,ReviewID,ReviewOrder,Title_x,Verified,Label,Sales Rank,Brand,Sales Price,Title_y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"After spending 6 weeks capturing and editing a video, which the program did well, the burning process is extremely unstable. It will burn the video to a DVD-RW (rewritable) disk but not to a non rewritable disk. I have tried 4 different manufacturers DVD disk and after 2 1/2 hours it takes to burn, I get error messages on every one and the disks will not play. I have wasted time and disks (they are unusable after the burning) to get no results. I have spent hours with Roxio's direct email support and with phone support and get ""this is most unusual"" but no solutions. I have deleted and reinstalled the program 3 times, as suggested by tech support, and still get the same results. I have sent for a back up disk as support also suggested that the original disk may be faulty. However if that support solution is as NON effective as the other suggestions, it will be useless. If you are into hours of playing with an unstable program, use EAsy Media Creator 7.5, if not, find another program.",9/11/2005,5.0,5.0,A1XSXUBCNFIM3W,B0007XPV22,1.0,0.0,570245.0,24.0,Extremely Unstable Program,0.0,0,1835,Roxio,99.99,Roxio Easy Media Creator 7.5 [Old Version],EAN->0815227004294,Binding->CD-ROM,"Feature->Includes PhotoSuite 7, VideoWave 7, Napster 2.0, and Easy CD & DVD Creator",Brand->Roxio,Feature->Organize with Media Manager; password-protect and encrypt private data,Label->Roxio,ListPrice,Manufacturer->Roxio,Model->220100,MPN->220100,NumberOfItems->1,PackageDimensions,Platform->Windows 2000,Platform->Windows XP,ProductGroup->Software,Publisher->Roxio,Feature->Transform still photos with stunning pan and zoom effects,Feature->Take complete control of video with advanced timeline editing tools,"Feature->Produce professional-looking VCDs, SVCDs, or DVDs",Format->CD-ROM,ItemDimensions
"After some careful research comparing players, I decided this Sony was the right player for me because 1) I primarily want to add music from my CD collection, and this software, despite everyone's bellyaching, produces MUCH better sound than IPOD's.  I earned my living as a music critic for svereal years, and the SONY sound is absolutely excellent. For classical music there's no comparison. 2) I travel overseas a lot and the ease of changing a little AAA battery, which lasts for 50 - 60 hours, is wonderful.  I know I'll have my music because I'm not dependent on finding outlets with the right plugs and risking blowing up my player on a bad voltage connection. Many of the complaints seem to arise from assumptions made about the player and capabilities it was not intended to feature, rather than product which doesn't live up to its claims. I've just bought a new SOMY Walkman A3000 20 GB because I want more storage, but I will keep this little beauty because it's the only one I know that runs on a battery. I'll also replace it if I can, should it's life run out before a newer version is available.",11/27/2006,0.0,0.0,A2AX3H6NZW96TW,B0007XO7AE,5.0,1.0,570340.0,13.0,Buy the Right Thing!!!,0.0,0,17413,Sony,119.99,Sony NW-E107 Network Walkman 1 GB Digital Music Player (Silver),Brand->Sony,BatteriesIncluded->0,ClothingSize->1g,Binding->Electronics,Color->Silver,Feature->Single AAA battery provides up to 70 hours of battery life; connects to Windows PCs via USB 2.0,ItemDimensions,Label->Sony,ListPrice,Manufacturer->Sony,Model->NWE107SILVER,MPN->NWE107SILVER,PackageDimensions,ProductGroup->CE,Publisher->Sony,ReleaseDate->2005-03-19,EAN->0027242674677,"Feature->Small, round multiformat digital audio player weighs under 1 ounce",Feature->1 GB built-in flash memory stores up to 680 songs,"Feature->Plays MP3, ATRAC, and ATRAC3 formats; supports WMA, WAV",Feature->Compatible with content purchased from Sony's Connect online music store
"After seeing some examples of photos from this gem of camera paired with a substantial [...] and getting a good price on selling my D100, did I finally make the plunge to a professional level digital camera. I am a serious amateur and I have owned this camera for about three months and shot off nearly 2000 photos under a variety of conditions. The camera is used with an ED glass zoom Nikkor lens G 28-200 mm and a Nikon SB600 flash. And I could not be happier with my new toy, um . . . tool. The image quality is superb with its 12 MP CMOS sensor. The build of the camera is a very durable magnesium body with well placed and well made controls. You can change ISO, image size, autofocus settings, shift from autofocus to manual and a number of other setting right from the camera body. Potentially if I became familiar enough with these controls I could make the changes without ever taking my eye from the camera. Furthermore, the camera is environmentally sealed and meant to be used under a variety of demanding conditions though I do not recommend taking it or any other electronic device into the rain without adequate protection. The grip both horizontal and vertical felt secure in my hands. There is a vertical shutter button with dials on the body to alter shutter and aperture settings. There are locks to prevent inadvertant firing of the vertical shutter button and shifting of the auto sensor for focus and metering. Below the depth of field preview button there is an additional button to which you can aside a variety of functions. I have it set to spot metering. The camera body unlike other Nikons does not come with a pop up flash though it does have a hotshoe. There is an additional sensor for white balance over the pentaprism. For those taking sports the camera has a high speed crop mode which shoots off much faster pictures but at a reduced resolution of 8 MP. There are three selections of metering: spot, center and the new 3D Color Matrix Metering II all of which may be changed from the right side of the pentaprism. I've found the Matrix Metering to be strikingly accurate with just a few times where the metering is fooled but this has been primarily where there have been extremes in lighting such as a night scene with a bright street light in the view. The auto white balance though not perfect has certainly been an improvement over that of the D100. You can also select your own white balance either from a grey card, a white card or even from ambient light. I have primarily use the autowhite balance. When I've had to use autofocus mainly for my cute rocket powered niece, it has been quite fast and accurate. The camera uses an electric cable release. You need to remove a small screw top from the front portion of the camera on side opposite of the shutter. At the time of this review the Nikon brand release MC-30 are not in stock anywhere though I've seen the fancier MC-36 available several places. A third party release such as one from Adorama is less expensive and seems to do the job. The camera performs very well at most of its ISO settings. The lowest is 100 and the highest which is the equivalent of 3200 called ""HI-2."" The noise up to HI-1 (1600) is actually not bad since it is more like film grain than true digital noise which is neither entirely random nor nearly as pleasing. For those adverse to noise, the camera has an excellent noise reduction system which eliminates nearly all noise up to about 400 to 800 ISO. I have not noted any banding my JPEG images. There are actually a ton of other features which I am not going to detail here. There are a few downsides to this camera. It is quite heavy and large. I'd recommend that you go to your local camera store and hold the camera. Those with neck and back problems may find it too heavy and those with small to medium small sized hands may find it difficult to operate. Also due to its size you are going to attract attention so you'll need to be more vigilent. Because of the high resolution of the camera you need to have excellent technique mainly in holding the camera. The Matrix Metering is so usually right on that you will notice more of your photos will be far better exposed. Though ""correct"" exposure is a matter of artistic intent. You also need excellent glass on the camera. If know you will be using the cable release I would remove the small screw top from the camera body and leave it at home. It is screaming to get lost. Lastly, this camera is expensive and is not for the casual photographer as you will be paying for many features which you will never use. For a comprehensive listing for features I refer you to Thom Hogan, dpreview or Nikonians. For those ready to step up to a pro level camera then the versatile D2X will make be an excellent fit for all many types of photography.",5/29/2006,28.0,28.0,ACXPRSPIVAS6H,B0007X7W6K,5.0,0.0,570705.0,9.0,A very fine tool,0.0,0,5147,Nikon,3995.0,NIKON D2X SLR 12.4 Megapixel Digital Camera,DisplaySize->2.5,Binding->Electronics,EAN->0018208252152,Brand->Nikon,"Feature->Supplied Accessories - Type-B Focusing Screen, Rechargeable Li-ion Battery EN-EL4, Quick Charger MH-21, Body Cap, Camera Strap AN-D2X, Audio Video Cable EG-D2, USB Cable UC-E4, LCD Monitor Cover BM-3, Battery Chamber Cover BL-1, PictureProject software CD-ROM",ItemDimensions,Label->Nikon,Manufacturer->Nikon,MaximumResolution->12.4,Model->D2X,MPN->25215,PackageDimensions,ProductGroup->Photography,Publisher->Nikon,Studio->Nikon,Title->NIKON D2X SLR 12.4 Megapixel Digital Camera,"Feature->Image Size - Full Image - [L] 4,288 x 2,848-pixel / [M] 3,216 x 2,136-pixel / [S] 2,144 x 1,424-pixel, High Speed Cropped Image - [L] 3,216 x 2,136-pixel / [M] 2,400 x 1,600-pixel / [S] 1,600 x 1,064-pixel",Feature->Storage Media - CompactFlash Card (Type I / II) and Microdrive.,Feature->2.5 LCD Screen,"Feature->Exposure Control - Programmed Auto with Flexible Program [P], Shutter-Priority Auto [S], Aperture-Priority Auto [A], Manual [M]",FloppyDiskDriveDescription->None
"After searching for a while for a bag for my Canon S3Is I bought this bag and  very happy with it. If you have adapter on this is the bag you want. It is not to big and not to small, with extra pockets for your batteries and card just perfect.",12/19/2006,4.0,4.0,A1YA2JB17CC3OI,B0007WVABO,5.0,0.0,570932.0,18.0,Tamrac 5682,0.0,0,2781,Tamrac,29.95,Tamrac 5682 Digital Zoom 2 Camera Bag (Black),Brand->Tamrac,BatteriesIncluded->0,Color->Black,Binding->Electronics,EAN->0023554022861,ItemDimensions,Label->Tamrac,ListPrice,Manufacturer->Tamrac,Model->5682 Black,MPN->5682 Black,PackageDimensions,ProductGroup->Photography,Publisher->Tamrac,Studio->Tamrac,Title->Tamrac 5682 Digital Zoom 2 Camera Bag (Black),Feature->Perfect for carrying a compact digital SLR with a lens up to 3 inches attached,Feature->Also holds digital cameras with large built-in zoom lenses,Feature->Dual Foam Technology provides protection and a custom fit,Feature->Features Tamrac's patented Memory & Battery Management System for identifying available memory cards and batteries,IsFragile->0
"After some 400 photos, I have mixed feelings about the camera.  I've been using non-DSLRs for four years, and have owned 5 of these.  All of the others allow more consistent results than the XT.  However, I am relearning my old SLR ways (the hard way). I LOVE the viewfinder and the speed!  The housing looks good, but scratches easily.  As with all DSLRs, it is exceptionally easy to get dust on the CMOS sensor (and difficult to clean).  Sure wish they'd fix this (couldn't they put a charge on the sensor to repel rather than attract dust?)!  AWB mode yields varying results (looking at a series of daylight photos taken in different directions seconds apart, it's amazing that some are overexposed, some underexposed, and some have obviously better white balance than others).  Wish the ISO extended to 3200.  Until a smaller, better build camera comes out, this will be the one!",3/30/2005,25.0,18.0,A3TCMJ6GKZJFBQ,B0007QKMSC,4.0,1.0,574526.0,326.0,Great Camera!,0.0,0,130,Canon,599.99,Canon Digital Rebel XT 8MP Digital SLR Camera (Body Only - Black),DisplaySize->1.8,Binding->Electronics,EAN->0013803049565,Brand->Canon,Feature->8.0-megapixel CMOS sensor captures enough detail for photo-quality 16 x 22-inch prints,HasRedEyeReduction->1,IsAutographed->0,IsMemorabilia->0,ItemDimensions,Label->Canon,"LegalDisclaimer->This Site operates AS-IS and AS-AVAILABLE, without liability of any kind. We are not responsible for events beyond our direct control. This Policy is governed by Florida law, excluding conflicts of law principles. Any legal actions against us must be commenced in Florida within one year after the claim arose, or be barred.",ListPrice,Manufacturer->Canon,Model->Digital Rebel XT,MPN->0209B001,PackageDimensions,Feature->Captures images at a rate of up to 3 frames per second,"Feature->DIGIC II Image Processor provides fast, accurate image processing",Feature->Fast start-up time--.2 seconds,"Feature->Powered by rechargeable Lithium-ion battery (included, with charger)",FloppyDiskDriveDescription->None
"After seeing a review on this site that claimed Mac compatibility, I bought this card, which turned out NOT to work, since it is ""version 4000"" and apparently uses a new chip set for which there is no Mac driver.  So, I'm out shipping on yet another card that doesn't work on the Mac, which is really getting old.",9/21/2005,2.0,0.0,A3BX7NEJR505I6,B00076X8DI,1.0,1.0,583136.0,3.0,"Version ""4000"" does NOT work on Macintosh",0.0,0,209894,Belkin Components,45.99,54g Wireless Desktop Network Card,Label->Belkin Components,Binding->Kitchen,ListPrice,Brand->Belkin Components,Manufacturer->Belkin Components,,,,,,,,,,,,ProductGroup->Kitchen,Publisher->Belkin Components,Studio->Belkin Components,Title->54g Wireless Desktop Network Card,
"After some research, I was down to Toshiba M45-S331 and Dell 6000. Finally got Toshiba although it was more expensive(especially considering Dell online deals). So far am very satisfied and love its built quality and feel as compared to others in the same price & specs range. PROS: 1. Great specs for the price 2. TruBrite screen 3. Harman/Kardon speakers 4. Keyboard Layout 5. Bridge-Media Aapter CONS: 1. PC2700 RAM instead of a DDR2 2. Relatively less Battery Life. (< 3 hrs on a full-charge) I experienced the FREEZING/LOCK-UP problem on plugging the AC Power Cord and have seen numerous such topics online. Toshiba Support insisted its a hardware problem but was not convinced. Was finally able to solve this problem by tweaking the Power settings of the Laptop... 1. Go to ""Power Management Icon"" from your system-icon-tray on bottom-right corner of the screen. (It gives information about Current Power Source, Remaining Battery and Power Profile) 2. Right-click it and select ""TOSHIBA POWER SAVER SETTINGS"". 3. Click ""SETUP OPTIONS"" button on bottom-left of the window 4. ""UNCHECK"" the box marked ""Change Power Source Profile Automatically"". Once you have done this....you should hopefully no longer have the freezing or locking problem when you switch to AC Power.",4/9/2005,39.0,38.0,A34IEI8G39HXO3,B00070PDAU,5.0,1.0,583613.0,21.0,Love my Toshiba M45-S331!!,0.0,0,307,Toshiba,1399.99,"Toshiba Satellite M45X-S331 15.4"" Notebook PC (Intel Pentium M Processor 730 (Centrino), 512 MB RAM, 80 GB Hard Drive, DVD SuperMulti Drive)",Brand->Toshiba,BatteryType->Lithium Ion,ComputerHardwareType->Notebook Computer,Binding->Personal Computers,CPUManufacturer->Intel,GraphicsMemorySize->128,HardDiskSize->80,ItemDimensions,Label->Toshiba,ListPrice,Manufacturer->Toshiba,MemorySlotsAvailable->1,Model->PSM40U-01R001,ModemDescription->56 Kbps,MPN->PSM40U-01R001,NetworkInterfaceDescription->10-Mbps/100-Mbps Ethernet and (Wi-Fi) Intel Pro/Wireless 2200BG 802.11b/g,CPUSpeed->1.6,CPUType->Intel Pentium M,DisplaySize->15.4,EAN->0032017296794,FloppyDiskDriveDescription->None
"After seeing positive reviews here as well as at About.com and ZDNet, I ordered PC-cillin Internet Security from Amazon.com (best price).  I ran into the problem about trying to register and receive updates from Trend Micro.  It took four days to get it all worked out, but they finally sent me a new serial number to use and I was able to register and receive updates.  It even takes a ridiculous amount of time for an automated reply to come from their website, so for anyone else who runs into this:  Don't give up!",3/9/2005,7.0,7.0,A1DA11OMMGNR4A,B00068IBZW,4.0,0.0,591776.0,128.0,Registration problems,0.0,0,1092,Trend Micro,49.95,PC-cillin Internet Security 2005 (Old Version),Brand->Trend Micro,BatteriesIncluded->0,Creator->Windows,Binding->CD-ROM,EAN->0733199434423,Format->CD,ItemDimensions,Label->Trend Micro,ListPrice,Manufacturer->Trend Micro,Model->TMR-ISE-2005,MPN->TIS 4423,PackageDimensions,Platform->Windows 98,Platform->Windows XP,Platform->Windows 2000,Feature->PC and home-network protection against viruses and blended threats,Feature->Personal firewall; privacy protection; W-Fi intrusion detection,"Feature->New anti-phishing, home-network control, and vulnerability assessment",Feature->Improved spam filtering; enhanced spyware detection and removal,Feature->Comprehensive virus security and integrated protection; easy to use
"After several attempts to own a functional Zen Micro, I give up.  It should not be this hard; iPod, here I come.  My first Zen Micro broke within three months of opening the box.  I returned it (a small but manageable hassle).  I received an entirely new one about two weeks later, no charge.  Two months later, had power management issues with the new one; Creative recommeded an upgrade to the firmware.  OK, fine.  Three months later, the thing completely crashes -- no music, no connectivity to my PC, nothing but a permanent splash screen.  I tried the restore mode, but none of the restore functions were working.  The thing was dead dead dead. I called Creative to see what they could do.  For $25, they could tell me what I already knew:  it wasn't working and needed to be fixed.  Then, they made it clear that they would be charging me for whatever it took to fix it.  All this despite the fact that THEY sent me this lemon and it was less than a year (read: still within warranty) since I had received it.  Great customer service, eh? Bad product + bad customer service = doomed company.  Don't buy a Creative Product.",4/21/2006,8.0,4.0,A2TD8ARYZ2AEKW,B00067TTZE,1.0,0.0,592326.0,123.0,Creative Products:  Truly poor technical quality,0.0,0,22950,Creative Labs,179.99,Creative Zen Micro 5 GB MP3 Player White,Brand->Creative Labs,BatteriesIncluded->1,Color->white,Binding->Electronics,EAN->0054651082366,Label->Creative Labs,ListPrice,Manufacturer->Creative Labs,Model->70PF108000026,MPN->70PF108000026,NumberOfItems->1,PackageDimensions,ProductGroup->CE,Publisher->Creative Labs,Studio->Creative Labs,Title->Creative Zen Micro 5 GB MP3 Player White,"Feature->Micro-sized 5 GB digital-music player stores up to 1,250 songs at 128 kbps  or 2,500 songs at 64 kbps (MP3/WMA)",Feature->Vertical touch pad simplifies navigation; body is curved to fit your hand,Feature->FM radio with 32 station presets for listening and recording; 10-hour voice recording through built-in microphone,Feature->12 hours continuous playtime using the supplied rechargeable lithium-ion battery; extend your listening using multiple batteries (sold separately),"Feature->Includes headphones, a belt clip, a stand, and an AC/DC power adapter"
"after searching on the internet i found amazon to be the place where this item had the lowest price. fast delivery, great product. fits great with my panasonic 6 megapixels camera. fine leather. could not be any happier with the product.",11/6/2006,0.0,0.0,ACALV66IJXYTJ,B00065L5TY,5.0,1.0,595089.0,62.0,great case,0.0,0,0,Canon,19.99,"Canon PSC-90 Deluxe Leather Case for the SD200, SD300, SD450, SD400 & SD600 Digital Cameras (Black)",Brand->Canon,BatteriesIncluded->0,Color->Black,Binding->Electronics,EAN->0750845820980,IsAutographed->0,IsMemorabilia->0,ItemDimensions,Label->Canon,"LegalDisclaimer->This Site operates AS-IS and AS-AVAILABLE, without liability of any kind. We are not responsible for events beyond our direct control. This Policy is governed by Florida law, excluding conflicts of law principles. Any legal actions against us must be commenced in Florida within one year after the claim arose, or be barred.",ListPrice,Manufacturer->Canon,Model->0183B001,MPN->0183B001,NumberOfItems->1,PackageDimensions,"Feature->Protective case for Canon PowerShot digital camera models SD200, SD300, and SD300",Feature->Genuine leather for added style and durability,Feature->Top-flap design easily conceals camera,Feature->Wrist strap included,Feature->Classic black finish
"After several hours with tech support, I got an e mail that there was a problem with the software on the included cd, that I should uninstall it & download the proper software. After that it was smooth sailing. The only shortcoming is that the cable box control does not have a great favorites channel button. .you have to program in the individual channels and then scroll through them. Otherwise it works as advertised. Three remotes for three different situations and all are working perfectly.",1/15/2007,1.0,1.0,A225OU87C2FQQL,B0003QER82,4.0,1.0,597725.0,90.0,not bad,0.0,0,0,Logitech,329.94,Logitech Harmony H-659 Advanced Universal Remote Control (Black),EAN->0097855028778,Binding->Electronics,"Feature->Easy to use, easy to set-up",Brand->Logitech,Feature->Full control of any component,ItemDimensions,Label->Logitech,ListPrice,Manufacturer->Logitech,Model->966179-0403,MPN->966179-0403,PackageDimensions,ProductGroup->CE,Publisher->Logitech,Studio->Logitech,Title->Logitech Harmony H-659 Advanced Universal Remote Control (Black),Feature->Three one-touch activity buttons,Feature->Ideal for satellite and digital cable,Feature->2 MB non-volatile flash memory,IsAutographed->0,IsMemorabilia->0
"After setup per the instructions, copies were very light. Tried adjustments allowed by copier but no improvement. Removed toner cartridge and shook it side-to-side... that resulted in copies a little darker but still not acceptable. Conclusion: toner cartridge supplied with the PC150 is almost worthless. February 16: Purchased a replacement toner cartridge for $33.94 and the PC 150 makes very good copies. Toner that comes with the PC 150 is trash.",1/31/2009,1.0,1.0,A1D6YVVEQY4WBY,B00030N86K,1.0,1.0,598402.0,6.0,Canon PC150 Copier - An Update,0.0,0,12309,Canon Office Products,345.0,Canon PC150 Personal Copier,EAN->0013803046014,Binding->Electronics,Feature->Compact folding design with built-in carrying handle,Brand->Canon,Feature->Single cartridge system offers four copies per minute,ItemDimensions,Label->Canon Office Products,ListPrice,Manufacturer->Canon Office Products,Model->8461A042AA,MPN->8461A042AA,PackageDimensions,ProductGroup->CE,Publisher->Canon Office Products,Studio->Canon Office Products,Title->Canon PC150 Personal Copier,"Feature->Up to letter-size sheets, 50-sheet paper tray","Feature->Instant warm-up, auto shut-off to save energy",Feature->Simple to operate and maintain; 1-year warranty,IsAutographed->0,IsMemorabilia->0
"after sorting through all the available skins,cases, & covers for my 4th gen  20GB IPod I decided to go woth this one. And it does the job as expected. It is very form fitting, and offers protection for the ipod & Ipod screen. he only drawback it the screen cover is hard to clean when it gest dusty or dirty. Other than that small thing I am very pleased with this item.",10/19/2005,1.0,1.0,A3GYHE41KAT8DE,B0002Z5Y5O,4.0,1.0,600228.0,1.0,Does the Job,0.0,0,0,Digital Lifestyle Outfitters,14.99,DLO Jam Jacket for 4G 20 GB iPod Fuschia,Brand->DLO,BatteriesIncluded->0,EAN->0836258955133,Binding->Electronics,Feature->Silicone protector jacket,IsMemorabilia->0,ItemDimensions,Label->Digital Lifestyle Outfitters,ListPrice,Manufacturer->Digital Lifestyle Outfitters,Model->009-5513,MPN->009-5513,NumberOfItems->1,PackageDimensions,ProductGroup->CE,Publisher->Digital Lifestyle Outfitters,Feature->Play-through design provides access to jog wheel mini-dock connector,Feature->Transparent screen protector,Feature->Jacket color -  Fuschia,Feature->Armband color -  Black,IsAutographed->0
"After seeing this at Best Buy for $63 and getting it for $39 delivered through Amazon, this only added extra icing to the cake for me. I already have the Canon HV20 HD camcorder, plus 5 extra batteries. Then recently bought Canon's SX10 IS digital camera and found that my old bag needed to be twice as big. This bag is probably 7 times larger, but now I'm able to carry other electronic things that I usually bring on trips anyway. So this purchase answered both my prayers and my wallet!",11/16/2008,0.0,0.0,A1D8B7V0RI4ZFK,B0002Y5WZC,5.0,0.0,601063.0,83.0,Plenty BIG enough for me!,0.0,0,0,Canon,99.99,Canon 200DG Digital Camera Gadget Bag (Black),Feature->Designed to hold SLR digital cameras,Binding->Electronics,"Feature->Hold up to two SLR camera bodies, three lenses, and accessories",Brand->Canon,"Feature->Padded, easy-access side pockets for extra memory cards",Label->Canon,ListPrice,Manufacturer->Canon,Model->9320A003,MPN->9320A003,PackageDimensions,ProductGroup->Photography,Publisher->Canon,Studio->Canon,Title->Canon 200DG Digital Camera Gadget Bag (Black),UPC->750845818840,"Feature->Durable, water-repellent nylon exterior and weather-flap lid",Feature->Inside dimensions measure 10.5 x 7.5 x 7 inches (WxHxD),IsAutographed->0,IsMemorabilia->0,ItemDimensions
"After several hours of setup and configuration on this D-Link DP-G321 Wireless Multi-Port Print Server, I learn that it is useless for me.  Finally I find an obscure ""compatibile printers"" list on D-Link's web support page.  I am dumbfounded and very annoyed to discover that neither of my current printers are compatible with this product. I reviewed the product's promotional info, and the info on the box, and find nothing there to indicate that only a very limited list of printers will work with it.  Rather, there are broad statements like, ""Share multiple printers on your network,"" and ""Connect up to two USB pinters and one parallel printer."" This is false and misleading advertising.  I've wasted hours of time on this, and am thoroughly disgusted with D-Link as a result.",8/28/2005,2.0,2.0,AVV5T6JH9TED5,B0002TPFW2,1.0,1.0,603448.0,19.0,Very limited printer compatibility,0.0,0,5245,"D-Link Systems, Inc.",0.0,D-Link DP-G321 Wireless-G Print Server USB 2.0/Parallel Port,EAN->0790069269103,Binding->Electronics,Feature->Share multiple printers on your network,Brand->D-Link,Feature->Features two USB 2.0 ports and one parallel port for hooking up legacy printers,ItemDimensions,"Label->D-Link Systems, Inc.","LegalDisclaimer->This Site operates AS-IS and AS-AVAILABLE, without liability of any kind. We are not responsible for events beyond our direct control. This Policy is governed by Florida law, excluding conflicts of law principles. Any legal actions against us must be commenced in Florida within one year after the claim arose, or be barred.",ListPrice,"Manufacturer->D-Link Systems, Inc.",Model->DP-G321,MPN->DP-G321,NetworkInterfaceDescription->Hi-Speed USB / parallel,PackageDimensions,ProductGroup->CE,"Publisher->D-Link Systems, Inc.",Feature->Wireless transfer speeds up to 54 Mbps,"Feature->Supports multiple networking options - TCP/IP, NetBEUI and AppleTalk/ EtherTalk network printing protocols","Feature->Supports Internet Printing Protocol, which lets printer receive print jobs via the Internet or your Intranet",IsAutographed->0,IsMemorabilia->0
"After seeing nearly 500 reviews about this i was still a little skeptical. but i needed a hdmi cable to run my Sony upconvert DVP-ns77h. so for just under 5 bucks why not. after connecting it to the player i was shocked on its performance. i compared it to an older Monster cable 800 Ultra series 1.2m and in detail the cheap hdmi cable was better but less vivid in colors to the monster cable, BUT the monster was more ""grainy"" in picture. so overall i liked this cheap cable, and will buy a couple more. i am running this cable to a Sony Bravia SXRD KDS-50A3000. which sony doesnt make anymore. if you were like me and still little skeptical, for 5 bucks +/- still heck of a deal.",5/5/2008,0.0,0.0,A3CFSDTFY9MI94,B0002L5R78,5.0,0.0,607238.0,368.0,Best For the Price,0.0,0,864,House Brand,4.99,HDMI 2M (6 Feet) Super High Resolution Cable,Feature->Supports HDTV resolutions up to and including 1080p,Brand->DVI Gear,Feature->Supports digital connections only,Feature->HDMI Male to Male Connection,IsAutographed->0,Publisher->House Brand,Studio->House Brand,Title->HDMI 2M (6 Feet) Super High Resolution Cable,UPC->410000100189,,,,,,,,IsMemorabilia->0,ItemDimensions,Label->House Brand,Manufacturer->House Brand,ProductGroup->CE
"After spending $40 locally for a HDMI cable, I read on CNET and other sources that expensive cables cannot work any better than cheaper ones. I am using 3 of these cables and I am about to order 3 more (updating TV in bedroom to HD) and I couldn't be happier with them.",12/28/2008,0.0,0.0,A29QPJ3Y8XUATD,B0002L5R78,5.0,0.0,607688.0,818.0,Works great,0.0,0,864,House Brand,4.99,HDMI 2M (6 Feet) Super High Resolution Cable,Feature->Supports HDTV resolutions up to and including 1080p,Brand->DVI Gear,Feature->Supports digital connections only,Feature->HDMI Male to Male Connection,IsAutographed->0,Publisher->House Brand,Studio->House Brand,Title->HDMI 2M (6 Feet) Super High Resolution Cable,UPC->410000100189,,,,,,,,IsMemorabilia->0,ItemDimensions,Label->House Brand,Manufacturer->House Brand,ProductGroup->CE
"After seeing a recommendation from CNET for low priced HDMI cables, I ordered two. They arrived in just 3 days and work great. Nice!",1/24/2009,0.0,0.0,A2UKDRYSEWWM8,B0002L5R78,5.0,1.0,607833.0,963.0,"Nice HDMI cables - work great for excellent price, fast shipping",0.0,0,864,House Brand,4.99,HDMI 2M (6 Feet) Super High Resolution Cable,Feature->Supports HDTV resolutions up to and including 1080p,Brand->DVI Gear,Feature->Supports digital connections only,Feature->HDMI Male to Male Connection,IsAutographed->0,Publisher->House Brand,Studio->House Brand,Title->HDMI 2M (6 Feet) Super High Resolution Cable,UPC->410000100189,,,,,,,,IsMemorabilia->0,ItemDimensions,Label->House Brand,Manufacturer->House Brand,ProductGroup->CE
